type,status,folder,title,local_path_or_link_file,source_url,rag_topic
pdf,downloaded,01_academic,Quy trình Quản lý điểm sinh viên 2025,/pdfs/01_academic/quy_trinh_quan_ly_diem_sinh_vien_2025.pdf,https://hcmut.edu.vn/document/1751629618949_BK_QT_ED_031_02_Quy%20trinh%20Quan%20ly%20diem%20sinh%20vien_01.7.2025.signed.pdf,"Điểm, điểm trung bình, số tín chỉ tích lũy, xét tốt nghiệp"
pdf,downloaded,01_academic,Quy định tạm thời về công tác khảo thí 2024,/pdfs/01_academic/quy_dinh_tam_thoi_cong_tac_khao_thi_2024.pdf,https://hcmut.edu.vn/document/1725962135325_20240710_2929_QD%20ban%20hanh%20Quy%20dinh%20tam%20thoi%20ve%20cong%20tac%20khao%20thi%20tai%20Truong%20DHBK%2C%20DHQG-HCM.pdf,"Thi, kiểm tra, khảo thí, coi thi"
pdf,downloaded,01_academic,"Quy trình Sắp xếp thời khóa biểu, phân công giảng dạy 2025",/pdfs/01_academic/quy_trinh_sap_xep_tkb_phan_cong_giang_day_2025.pdf,https://hcmut.edu.vn/document/1751629315673_BK_QT_ED_009_02_Quy%20trinh%20Sap%20xep%20TKB%20Phan%20cong%20Giang%20day_01.7.20255.signed.pdf,"Thời khóa biểu, đăng ký môn học, dữ liệu học phí"
pdf,downloaded,02_academic_services,Quy trình Bộ phận một cửa 2025,/pdfs/02_academic_services/quy_trinh_bo_phan_mot_cua_2025.pdf,https://hcmut.edu.vn/document/1754531945730_13_Quy%20trinh%20bo%20phan%20mot%20cua.signed.pdf,"Thủ tục hành chính, học vụ, bảng điểm, chứng chỉ, xác nhận sinh viên"
pdf,downloaded,02_academic_services,Danh mục CTSV 2026,/pdfs/02_academic_services/danh_muc_ctsv_2026.pdf,https://hcmut.edu.vn/document/1775187018249_Danh%20m%E1%BB%A5c%20CTSV.pdf,Danh mục thủ tục công tác sinh viên
pdf,downloaded,03_student_affairs,Quy trình Chi học bổng cho sinh viên 2025,/pdfs/03_student_affairs/quy_trinh_chi_hoc_bong_sinh_vien_2025.pdf,https://hcmut.edu.vn/document/1751620083423_1_BK_QT_ED_003_06%20Quy%20trinh%20chi%20hoc%20bong%20sinh%20vien.signed.pdf,"Chi học bổng, tài chính"
pdf,downloaded,03_student_affairs,Quy trình Khám sức khỏe 2025,/pdfs/03_student_affairs/quy_trinh_kham_suc_khoe_2025.pdf,https://hcmut.edu.vn/document/1753847135920_Quy%20trinh%20Kham%20suc%20khoe.signed.pdf,"Y tế học đường, khám sức khỏe đầu vào/định kỳ/ra trường"
pdf,downloaded,03_student_affairs,Quy trình Kỷ luật sinh viên 2025,/pdfs/03_student_affairs/quy_trinh_ky_luat_sinh_vien_2025.pdf,https://hcmut.edu.vn/document/1751876829064_6_Quy%20trinh%20Ky%20luat%20SV.signed.pdf,"Kỷ luật sinh viên, vi phạm quy định"
pdf,downloaded,03_student_affairs,Quy trình Quản lý hồ sơ sinh viên 2025,/pdfs/03_student_affairs/quy_trinh_quan_ly_ho_so_sinh_vien_2025.pdf,https://hcmut.edu.vn/document/1751878391401_12_Quy%20trinh%20Quan%20ly%20ho%20so%20SV.signed.pdf,"Hồ sơ sinh viên, nhập học, hậu kiểm"
pdf,downloaded,03_student_affairs,Quy trình Triển khai học bổng khuyến khích 2025,/pdfs/03_student_affairs/quy_trinh_trien_khai_hoc_bong_khuyen_khich_2025.pdf,https://hcmut.edu.vn/document/1751877694633_10_Quy%20trinh%20trien%20khai%20hoc%20bong%20khuyen%20khich.signed.pdf,Xét học bổng khuyến khích học tập
